"cellType","protein","gene_name","r","pval","FDR"
"CD8+_T-cells","N-Cadherin","CDH2",-0.0863286098541479,0.356820749643692,0.594701249406153
"CD8+_T-cells","Notch1","NOTCH1",-0.0333871454851286,0.721993689484132,0.838096706555835
"CD8+_T-cells","P-Cadherin","CDH3",0.00712992040700748,0.939450185896787,0.95583073440698
"CD8+_T-cells","VEGFR2","KDR",0.144680710068915,0.121249943706557,0.550984036995706
"CD8+_Tcm","ACVRL1","ACVRL1",-0.1046569290912,0.263543050171475,0.50545730599358
"CD8+_Tcm","c-Kit","KIT",0.0142528539701849,0.879302721343498,0.890016589720799
"CD8+_Tcm","c-Met_pY1235","MET",-0.150975468931416,0.105720125722848,0.50545730599358
"CD8+_Tcm","CD20","MS4A1",-0.134005750637426,0.151534357949888,0.50545730599358
"CD8+_Tcm","CD31","PECAM1",-0.109608403638588,0.241491550461627,0.50545730599358
"CD8+_Tcm","CD49b","ITGA2",0.0260374430292534,0.781440811023219,0.890016589720799
"CD8+_Tcm","Claudin-7","CLDN7",0.0678927785318106,0.468976844619614,0.678682707270436
"CD8+_Tcm","E-Cadherin","CDH1",0.101562160975208,0.278001518296469,0.50545730599358
"CD8+_Tcm","EGFR","EGFR",0.0167359429946473,0.858477925901575,0.890016589720799
"CD8+_Tcm","EGFR_pY1068","EGFR",0.127914276701427,0.171190821045566,0.50545730599358
"CD8+_Tcm","EGFR_pY1173","EGFR",-0.119501487073706,0.201349619560865,0.50545730599358
"CD8+_Tcm","HER2","ERBB2",0.1546456033752,0.0974116246235317,0.50545730599358
"CD8+_Tcm","HER2_pY1248","ERBB2",0.118953850151393,0.203437621243717,0.50545730599358
"CD8+_Tcm","HER3","ERBB3",0.12781370583884,0.171530450585601,0.50545730599358
"CD8+_Tcm","HER3_pY1289","ERBB3",-0.0435449411348592,0.642551323195114,0.856735097593485
"CD8+_Tcm","Heregulin","NRG1",-0.0669663824875211,0.475077895089305,0.678682707270436
"CD8+_Tcm","N-Cadherin","CDH2",-0.0858854802349324,0.359303748836919,0.598839581394865
"CD8+_Tcm","Notch1","NOTCH1",-0.0354101070858803,0.705901101962865,0.882376377453581
"CD8+_Tcm","P-Cadherin","CDH3",0.0129792957470859,0.890016589720799,0.890016589720799
"CD8+_Tcm","VEGFR2","KDR",0.155771720989112,0.0949682945317194,0.50545730599358
"CD8+_Tem","ACVRL1","ACVRL1",0.251811643795409,0.00639499967380972,0.127899993476194
"CD8+_Tem","c-Kit","KIT",0.0049102192848387,0.95827987865913,0.95827987865913
"CD8+_Tem","c-Met_pY1235","MET",0.0945352284580649,0.312777182428595,0.757338617421154
"CD8+_Tem","CD20","MS4A1",0.039832365320605,0.671179150438986,0.95827987865913
"CD8+_Tem","CD31","PECAM1",0.144189354215897,0.122532594922679,0.513370944441755
"CD8+_Tem","CD49b","ITGA2",-0.00868767832854803,0.926255048688465,0.95827987865913
"CD8+_Tem","Claudin-7","CLDN7",-0.0491899398115589,0.60001982421171,0.95827987865913
"CD8+_Tem","E-Cadherin","CDH1",-0.0200133167824982,0.83114208321508,0.95827987865913
"CD8+_Tem","EGFR","EGFR",-0.036235281682079,0.699373478806866,0.95827987865913
"CD8+_Tem","EGFR_pY1068","EGFR",-0.0054700740806765,0.953528061476743,0.95827987865913
"CD8+_Tem","EGFR_pY1173","EGFR",-0.0220930836863131,0.813897040176024,0.95827987865913
"CD8+_Tem","HER2","ERBB2",-0.142011975474906,0.128342736110439,0.513370944441755
"CD8+_Tem","HER2_pY1248","ERBB2",-0.177354979551316,0.0568303890962909,0.378869260641939
"CD8+_Tem","HER3","ERBB3",-0.185945505163965,0.0456656602658219,0.378869260641939
"CD8+_Tem","HER3_pY1289","ERBB3",0.0599355802976529,0.522751339144276,0.95045698026232
"CD8+_Tem","Heregulin","NRG1",-0.08165882923938,0.383522456508246,0.767044913016492
"CD8+_Tem","N-Cadherin","CDH2",0.0892347129297108,0.340802377839519,0.757338617421154
"CD8+_Tem","Notch1","NOTCH1",0.0940213599867639,0.31542663077286,0.757338617421154
"CD8+_Tem","P-Cadherin","CDH3",0.010476062572391,0.911131228832841,0.95827987865913
"CD8+_Tem","VEGFR2","KDR",-0.0982376415935543,0.294116650962097,0.757338617421154
"cDC","ACVRL1","ACVRL1",-0.159500406996269,0.0872224363300303,0.278030576395442
"cDC","c-Kit","KIT",-0.113193093915288,0.226349210809972,0.365591414342296
"cDC","c-Met_pY1235","MET",-0.190054067608993,0.0410087509565171,0.164035003826069
"cDC","CD20","MS4A1",-0.133335784959313,0.153609314195242,0.322373350825612
"cDC","CD31","PECAM1",-0.209888120618797,0.0237385953934108,0.140091605550785
"cDC","CD49b","ITGA2",0.0558330135409817,0.551648110793781,0.588953191720068
"cDC","Claudin-7","CLDN7",0.05473580870081,0.559505532134065,0.588953191720068
"cDC","E-Cadherin","CDH1",0.119841491362979,0.200061054615933,0.36374737202897
"cDC","EGFR","EGFR",0.0564978000710589,0.546913544689819,0.588953191720068
"cDC","EGFR_pY1068","EGFR",0.069825678910372,0.456386030636411,0.588953191720068
"cDC","EGFR_pY1173","EGFR",-0.154691674186105,0.0973107017384048,0.278030576395442
"cDC","HER2","ERBB2",0.240329132612662,0.0093606183950149,0.093606183950149
"cDC","HER2_pY1248","ERBB2",0.130945327118077,0.161186675412806,0.322373350825612
"cDC","HER3","ERBB3",0.204047633069855,0.028018321110157,0.140091605550785
